BillNo,ActNo,Assent,Remarks
2-2009,6-2010,11/10/2010,GG33607
10-2012,13-2012,11/10/2012,GG35775
19-2008, ,11/11/2008,
2-2012,14-2012,11/12/2012,GG35987
22-2012,15-2012,11/12/2012,GG35979
25-2012,16-2012,11/12/2012,GG35980
32-2012,17-2012,11/12/2012,GG35993
33-2012,18-2012,11/12/2012,GG35994
17–2007, ,11/6/2007, 
2-2013,2-2013,11/6/2013,GG36555
67-2008,15-2009,12/8/2009,GG32404
21–2007,1-2008,13/2/2007,GG30790
30–2007, ,13/5/2007, 
7B-2011,10-2013,13/8/2013,GG36743
28–2007,19-2008,14/10/2007,GG31509
7–2007,18-2008,14/10/2007,GG31508
32–2007,25-2008,14/11/2007,GG31593
7-2012,10-2012,14/9/2012,GG35663
20-2010,8-2011,15/6/2011,GG34367
21-2010,9-2011,15/6/2011,GG34368
19-2011,24-2011,16/1/2012,GG34927
5-2010,5-2010,16/9/2010,GG33562
24–2007, ,17/1/2007, 
25–2007, ,17/1/2007, 
22B-2013,18-2013,17/11/2013,GG37069
22–2007, ,18/1/2007, 
23–2007, ,18/1/2007, 
4-2012,5-2012,18/5/2012,GG35361
36B-2012,17-2013,19/11/2013,GG37068
9D-2009,4-2013,19/11/2013,GG37067
24-2012,1-2013,19/3/2013,GG36271
15-2010,1-2011,19/5/2011,GG34298
16-2010,2-2011,19/5/2011,GG34299
33-2010,4-2011,19/5/2011,GG34300
10-2011,8-2012,19/7/2012,GG35513
3-2012,7-2012,19/7/2012,GG35512
36-2010,15-2011,19/9/2011,GG34620
28-2010,7–2010,2/11/2010,GG33726
29-2010,8-2010,2/11/2010,GG33727
12-2010,16-2010,2/12/2010,GG33837
13-2010,12-2010,2/12/2010,GG33829
14-2009,9-2010,2/12/2010,GG33835
19-2010,10-2010,2/12/2010,GG33828
27-2010,14-2010,2/12/2010,GG33827
34-2010,23-2010,2/12/2010,GG33840
35-2010,15-2010,2/12/2010,GG33830
37-2010,20-2010,2/12/2010,GG33838
38-2010,21-2010,2/12/2010,GG33839
9-2010,13-2010,2/12/2010,GG33836
50-2008,7-2008,2/7/2008,GG31199
2-2010,22-2011,20/1/2012,GG34879
40-2010,3-2011,20/4/2011,GG34243
3-2011,11-2011,20/7/2011,GG34461
31-2010,10-2011,20/7/2011,GG34460
13–2007, ,21/2/2007, 
27–2007, ,21/4/2007, 
3-2010,3-2010,21/6/2010,GG33314
30D-2012,3-2013,21/9/2013,GG36878
8B-2012,24-2012,22/1/2013,GG36071
19-2008,68-2008,22/5/2009,GG32186
49-2002,75-2008,22/5/2009,GG32225
49-2002,75-2008,22/5/2009,GG32225
2-2011,14-2011,22/8/2011,GG34545
49–2007,26-2008,24/11/2007,GG31634
22-2008,32-2008,24/11/2008,GG31637
5-2008,30-2008,24/11/2008,GG31636
59-2008,28-2008,24/11/2008,GG31635
41-2010,5-2011,24/5/2011,GG34315
1-2013,9-2013,25/2013,GG36692
13D-2012,14-2013,25/7/2013,GG36703
24F-2011,12-2013,25/7/2013,GG36702
25B-2011,11-2013,25/7/2013,GG36695
26B-2012,8-2013,25/7/2013,GG36691
37B-2012,15-2013,25/7/2013,GG36704
30-2010,12-2011,26/8/2011,GG34560
32-2010,13-2011,26/8/2011,GG34561
12-2009,19-2009,27/11/2009,GG32744
6-2012,1-2012,27/3/2012,GG35184
28-2012,5-2013,27/6/2013,GG36610
39-2010,9-2012,27/9/2012,GG35714
56-2008,22-2009,28/1/2010,GG32910
57-2008,23-2009,28/1/2010,GG32904
